阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
朝山禮拜與佛接心	Pilgrimage: heart-to-heart connection with the Buddha
朝山禮佛　虔誠恭敬	"Pilgrimage to the Buddha; 
Pious and sincere."
照顧當下	Be Mindful of the Present Moment
照顧腳下	Be Mindful of One's Footsteps
照顧腳下　制心一處	"Mind Your Steps; 
Single-minded concentration."
照見五蘊皆空	Realize that the Five Skandhas are All Empty
照心之鏡	The Mirror of Reflecting the Mind
"招友人宿
銀地無塵金菊開，
紫梨紅棗墮莓苔；
一泓秋水一輪月，
今晚故人來不來。"	"Making a Friend Stay for the Night
Golden camomiles on silvery dustless land, 
Purple pears and red dates fall into a green field;
As the moon is mirrored in an autumn pond,
I wonder if my old friend will visit me tonight."
針鋒相對　絲毫不讓	"Measure for Measure; 
No compromise."
針芥相投　罕遇難逢	"A Match Made in Heaven; 
Hard to find."
真空不空	True Emptiness is Not Actually Empty
真空妙有	From True Emptiness Comes Wondrous Existence
真空妙有　空有圓融	"From True Emptiness Comes Wondrous Existence; 
Emptiness and existence are interpenetrative."
真如性海	True Thusness and the Ocean of Nature
真如自性　表示真我	"True Thusness and Intrinsic Nature; 
One's true nature."
真善美	Truth, Virtue, and Beauty
真善美一歌世界名曲	Truth, Virtue, and Beauty: The Sound of Music
真實不虛　絕無虛假	"Truth is Truth; 
Absolutely without fabrication."
真相大白　洗刷沉冤	"The Whole Truth is Revealed; 
Justice is served."
真心性海	Ocean of True Mind and Nature
珍惜來臨的一年明年更好	Cherish What You Have: year after year, life will get better
珍惜生命	Cherish Life
珍重再見情義不改	Goodbye and Take Care: staying loyal
正大光明	Be Just and Honorable
正法淨心	Right Dharma Purifies the Mind
正法眼藏	Treasure of the True Dharma Eye
正法眼藏　真理心要	"Treasure of the True Dharma Eye; 
The core of all truths."
正見	Right View
正覺	Samyak-Sambodhi
正覺人生	A Life of Righteous Awakening
正命	Right Livelihood
正命吉祥	Right Livelihood Brings Auspiciousness
正念善用	Make Good Use of Right Thoughts
正念為用	Use Right Thoughts
正派做人	Maintain a Righteous Character
正思惟	Right View
正心誠意	A Righteous Mind with Sincere Intentions
正心正人	An Upright Mind and Upright Person
正行	Right Action
正行無畏	Right Action Makes One Fearless
正知	Right Understanding
正知正見	Right Understanding and Right Views
至誠至真	Utmost Sincerity and Truthfulness
至理名言　絕美法語	"Remarkable Sayings; 
Exquisite Dharma words."
至真至善	The Zenith of Truthfulness and Virtue
知錯美德	The Virtue of Admitting One's Faults
知道	Knowing
知恩報恩　有情有義	"Repay Every Kindness Bestowed; 
Sentiment and righteousness. "
知恩為富	Gratitude is Wealth
知愧	Understand Shame
知命不惑	Clearly Know Your Obligations
知天知命	Know the Ways of Heaven and One's Life
知心知命	Know One's Mind and Life
知行合一	Be Consistent in Your Understanding and Actions
知行合一	Unity of Knowledge and Action
知愚	Acknowledge Your Ignorance
知止知足	Know When to Stop, When to be Content
知足	Contentment
知足常樂	Contentment BringsEternal Happiness
知足常樂 能忍自安	Contentment Brings Eternal Happiness That Can Bring Tolerance and Safety
知足富貴	Contentment Is a Wealth
知足生活別無他求	Contentment: living without asking for more
知足為福	Contentment is a Fortune
知足為貴	Contentment is Precious
擲地有聲　鏗鏘有力	"Making a Loud Statement; 
Resounding and forceful."
指點迷津　引人正路	"To Point Out a Way; 
Guide one to the right path."
指東劃西　不著邊際	"Neither Here nor There; 
Strayed from the point."
指鹿為馬　歪曲事實	"To Call a Deer a Horse; 
Bending the truth."
指桑罵槐　拐彎抹角	"Beat Around the Bush; 
To skirt around the corners."
止觀	Cessation and Contemplation
智慧慈悲	Wisdom and Compassion
智慧法水	The Stream of Dharma Wisdom
智慧明燈	Light of Wisdom
智目行足　行解並重	"Eyes of Wisdom and Steps of Conduct; 
Emphasis on both theory and practice."
智仁勇	Wisdom, Benevolence, and Courage
智月常圓	The Moon of Wisdom is Always Full
執迷不悟　不肯認錯	"Holding onto Delusions; 
Refusal to admit mistakes."
直下承擔	Immediate Acceptance of Responsibilities
直下承當　勇於面對	"Immediate Acceptance of Responsibilities; 
Confront situations courageously."
直心道場	A Straightforward Mind is the Place for Awakening
志如高山	Aspirations as High as the Great Mountains
志心信禮	Conviction, Faith and Respect
志心信禮　虔誠恭敬	"Conviction, Faith, and Respect; 
With devotion and reverence."
志在千里	Aspirations As Far As Thousands of Miles
志在天下	A Will as Great as the Entire World
制心一處　無念安心	"Focus the Mind; 
Abide in non-thought."
中道	Middle Way
種瓜得瓜　因果必然	"Reaping What One Sows; 
Causes and effects are inevitable."
忠厚仁慈	Honesty, Kindness, Benevolence, and Compassion
忠孝仁愛	Loyalty, Filial Devotion, Benevolence
眾望所歸　名實相符	"Command Public Respect and Support; 
To live up to one's reputation."
眾緣和合　因緣成就	"Synergy of Conditions; 
Causes and conditions coming together."
眾中有我	I Am Among the Multitude
"終日尋春不見春，
芒鞋踏破嶺頭雲；
歸來偶把梅花嗅，
春在枝頭已十分。"	"The whole day spent looking for spring but not seeing spring;
Straw sandals worn out on cloud-covered peaks.
Return to casually sniff the plum blossoms;
Spring is already fully on the branch tips."
終生學習	A Lifetime of Learning
鍾山春石城龍蟠虎踞	Spring in Mount Zhong: Shicheng, where tigers crouch and dragons coil
重整旗鼓　東山再起	"Plan a Comeback; 
To rise again."
重重無盡　華藏世界	"Endlessly Overlapping; 
The Lotus Store (Avatamsaka) World."
主動向前	Be Proactive in Moving Forward
諸惡莫作	Cease All Unwholesome Deeds
諸佛為侶	Buddhas as Friends
諸根具足	Complete In All Sense Faculties
諸上善人　良師益友	"Utmost Virtuous People; 
Noble teachers and friends."
竹報平安　幸福象徵	"Reported Safe and Sound; 
Sign of happiness."
竹密不妨流水過  山高豈礙白雲飛	No Matter How Dense, Bamboos Never Stop Water From Seeping Through; No Matter How High,Mountains Never Obstruct Clouds from Flying Over
祝您幸福無懼汗珠	Wish You Happiness: tears and pain matter not
祝您一路順風別離憂愁	Wish You a Pleasant Journey: sorrow of parting
逐氣尋香　執迷妄想	"Seeking Fragrance Instead of Substance; 
Grasping delusive thoughts."
朱文公全集	Complete Works of Zhu Wengong
抓泥鰍行為傷害生命	Catching Mudfish: harming life
轉	Turn
轉女成男　一切平等	"Turning a Woman into a Man; 
Everyone is equal."
轉識成智　諸行圓滿	"Transforming Knowledge into Wisdom; 
To perfect one's cultivation."
裝聾作啞　故意不知	"Play Dumb; 
To act ignorant."
裝模作樣　矯揉做作	"To Put on an Act; 
An affected manner."
莊嚴	Dignity
莊嚴寶像　攝受群生	"Majestic Buddha Statue; 
Inspiring all."
莊嚴本性	Dignified Original Nature
莊嚴具足	Complete With Dignity
追來追去你在何方	Chasing: here and there, where are you?
追夢人情景變幻無常	Dream Chaser: constant changes of impermanence
自家寶藏	The Treasure Within Oneself
自覺	Self-awakening
自覺覺他	Enlighten Oneself and Others
自覺人	A Self-Awakened Person
自覺行佛	Self-awareness and Practice the Buddha's Way
自利利他　菩薩行為	"Benefiting Self and Others; 
Practice of a bodhisattva."
自欺欺人　掩耳盜鈴	"Deceiving Self and Others; 
Covering one's ears to steal a bell."
自強不息	Continuously Strive to Improve
自然而然　順勢發展	"In a Natural Manner; 
Take its course."
自然之美	Natural Beauty
自身難保　焉能助人	"Unable to Fend for Oneself; 
How can one even help others?"
自食其果　作法自斃	"Reap One's Own Harvest; 
To suffer the consequences of one's own actions."
自我革新　不斷改進	"Self-Innovation; 
Continuous improvement."
自心信樂	Belief and Joy in One's Heart
自性自覺	Self-nature, Self-awakening
自由自在	Be Liberated and Carefree
自由自在　無牽無掛	"Liberated and Carefree; 
Without worries."
自在	Carefree
自在人生	A Life at Ease
自在為樂	Happiness Can Be Found in Carefreeness
自作自受　業力隨身	"Suffer the Consequences of One's Actions; 
Karmic retributions will follow."
走出自己	Make Your Own Path
走四方風光地老天荒	Walk in Four Directions: glory till the end of time
祖堂集	Annals of the Ancestral Hall
鑽故紙堆　脫離現實	"Boring through Heaps of Old Papers; 
Detached from reality."
鑽水求酥　痴心妄想	"Churning Water, Seeking Butter; 
Wishful thinking."
最上三寶	Supreme Triple Gem
罪業深重　惡貫滿盈	"Grave Offenses; 
Full of unwholesomeness."
左穿右穴　了了分明	"To Know Something Inside and Out; 
Thorough understanding."
坐斷乾坤　超越時空	"Sitting Meditation, Severing Heaven and Earth; 
Beyond time and space."
坐斷十方　泯除分別	"Sitting Meditation, Severing the Ten Directions; 
Extinguishing all discrimination."
坐井觀天　眼界狹小	"Viewing the Sky from the Bottom of a Well; 
Narrow perspective and vision."
坐久成勞　方法不對	"Meditation Fatigue; 
Wrong method."
"坐破蒲團不用功，何時及第悟真空；
真是一番齊著力，桃花三月看飛紅。"	"With no real effort, even wearing out the sitting mat,
There will be no realization of the heart’s true emptiness.
After great effort is applied,
Life will be like the flying colors of the peach blossom in March."
做己貴人　自立自強	"The One Who Helps You Succeed is Yourself; 
Be self-reliant, be strong."
做自己的貴人	The One Who Helps You Succeed is Yourself
作繭自縛　自招苦果	"Tangled in One's Own Net; 
To cause one's troubles."
作如是觀　抱持看法	"One Shall Contemplate as Such; 
To uphold one's view."
作獅子吼　善於說法	"Lion's Roar; 
Eloquent in teaching the Dharma."
作死馬醫　好歹一試	"Treating a Dead Horse; 
Better than not trying."
作賊心虛　內心有愧	"Uneasiness in a Thief's Mind; 
A guilty conscience."
愛與和平祈福音樂會	Love and Peace Prayer Concert
安心悟道	attain awakening
安住身心	1. settle your body and mind; 2. Settle the Body and Mind in Peace
八宗兼弘	promotes all of the Eight Schools of Buddhism
把握當下	seize the present moment
"百川入海，同一鹹味
四姓出家，同為釋氏"	"All waters that flow into the ocean become of the same salinity.
All those of the four classes who enter the Sangha shall share the same name of Sakya."
百劫修相好，三祇修福慧	"It takes a hundred kalpas to perfect the marks of excellence and notable attributes of a Buddha, and three asamkhya kalpas to perfect
one’s virtues and wisdom."
百萬人興學紀念館落成感恩法會	Million-Member Fundraising Campaign Prayer Service of Gratitude
報身	reward body
本具	intrinsically possess
"般若為導，五度為伴
若無般若，五度如盲"	"Prajna is the guide which the other five perfections follow; 
Without it, the other five perfections are blind."
"不拜佛，不妄行一步
不看經，不隨便點燈"	Not taking a step unless it is to venerate the Buddha, and not lighting a lamp unless it is to read the sutras.
不斷大悲種	not severing the seeds of great compassion
不落因果	not subjected to karma
不昧因果	not ignorant to karma
不念舊惡	never hold an old grudge
不怕無明起，只怕覺照遲	Fear not the rise of ignorance, but the lack of awareness.
"不破參，不閉關
不開悟，不住山"	"No realization, no retreat.
No enlightenment, no seclusion."
不問蒼生問鬼神	seeking help from ghosts and spirits rather than people
不要而有	having by not wanting
不著相	detachment from form
不能不信因果	must not live without the belief in cause and effect
不侵犯他人	do not intrude on others
"1) 不染心相觸
2) 不盜人四錢
3) 不斷畜生命
4) 不小妄語
5) 不飲酒
6) 不非時食"	"1) Refrain from coming into contact with the opposite sex with a defiled mind.
2) Refrain from stealing four coins.
3) Refrain from killing animals.
4) Refrain from telling small lies.
5) Refrain from consuming intoxicants.
6) Refrain from eating at inappropriate times."
"不生不滅
不垢不淨
不增不減"	"neither arising nor ceasing, 
neither defiled nor pure, 
neither increasing nor decreasing"
不依規矩，不能成方圓	Without a compass and square, perfect squares and circles could not be formed.
不依國法，則佛法難立	Without adherence to the laws of the state, it is difficult for the Dharma to stand.
菜姑	Caigu
慚恥之服，無上莊嚴	Being clothed with a sense of shame is the foremost adornment.
慚愧	1. Shamefulness; 2. humility; 3. remorse
禪淨共修獻燈祈福法會	Chan and Pure Land Prayer Service
禪修法會	Meditation Retreats
長路相貫──茶馬古道上的人文歷史	Long Roads Together: The Human History of the Ancient Tea Horse Road
常慚愧僧	oft-repenting monk
"常行柔和忍辱法
安住慈悲喜捨中"	"Find joy in gentleness and patience;
Abide in kindness, compassion, joy, and equanimity."
常住大眾	monastery
常住三寶	the Abiding Triple Gem
超度法會	Memorial Dharma Service
初發心菩薩	initial aspiration bodhisattvas
"處處皆自在安樂
時時都歡喜吉祥"	In all places, may you be peaceful and at ease; At all times, may you enjoy happiness and auspiciousness!
穿越時空 ‧ 法寶再現	Timeless Dharma Treasures Reappearing
傳臨濟正宗第四十八世佛光山開山祖師星雲大師圓寂讚頌典禮	Memorial Service of Venerable Master Hsing Yun, the 48th Generation of the Linji School and Founding Master of Fo Guang Shan
吹打焰口調	wind-and-percussion melody of the Yogacara Flaming Mouth Dharma Service
春祭法會	Spring Memorial Dharma Service
此岸彼岸──星雲大師全集讀後	This Shore and the Other Shore—Book Review of the Complete Works of Venerable Master Hsing Yun
"此方真教體，清淨在音聞
欲取三摩提，實以聞中入"	"The essence of this true teaching is purely conveyed in voice and hearing. 
Anyone wishing to attain samadhi shall do so by truly hearing that voice."
"此方真教體，清淨在音聞
欲取三摩提，實以聞中入"	The essence of the true teachings here is purity in hearing; all those who wish to attain samadhi will surely find that hearing is the way to enter.
叢林有什麼？	“What’s in Tsung-Lin?”
打不還手，罵不還口	not to retaliate when one is physically or verbally abused
打得念頭死，許汝法身活	Only by beating your thoughts to death will your Dharma body be allowed to live.
"大馬好—
為國家祈願祝禱及音樂會"	Marvelous Malaysia Music Concert—Blessing for the Nation
大樹下的課堂	Under the Big Tree program
"但願眾生得離苦，
也為自己求安樂"	wishing that all beings be relieved from suffering while searching for peace and happiness for oneself
"當願眾生得離苦，
不為自己求安樂"	wishing that all beings be relieved from suffering without searching for peace and happiness for oneself
登雲路商店街	High Cloud Street Shops
"地獄不空，誓不成佛
眾生度盡，方證菩提"	"I shall not attain buddhahood until all hells are emptied; 
I shall not realize the bodhi vow until all sentient beings are liberated."
奠基	Foundation Laying Ceremony
定業	determined karma
對治百法	100 Remedies (see 百法對治百病)
頓漸一如	both sudden and gradual practices are the same
多聞薰習	deepened impression through accumulated hearing
"咄咄汝好睡，螺螄蚌蛤類
一睡一千年，不聞佛名字"	You sleep deeply, like snails and clams in their shells, sleeping a thousand years without hearing the Buddha’s name.
惡盡曰功　善滿稱德	"Eradicating all evil is called merit; 
Accumulating all goodness is called virtue."
惡口	harsh speech
耳根圓通	Interpenetration of ear faculty
耳不聽，眼不看，心不知	What the ears don’t hear and the eyes don’t see, the mind doesn’t know.
二板一鐘	twice on the board and once on the bell
二槌木魚	Signal to Start Short Walking Meditation
二合堂	Two Merge Classroom
發心	1. Resolve; 2. to resolve; 3. aspiration
"法本一宗，人有南北
法即一種，見有遲疾"	"The Dharma is inherently one school. It is people who distinguish as northerners or southerners.
There is one Dharma, but it might be a slow or quick process to realize it."
法不孤起　仗境方生	Dharmas do not arise independently, they are conditioned.
法幢不容傾倒，慧燈不可熄滅	The banner of Dharma cannot be toppled. The lamp of wisdom must never be extinguished.
法界一心	The Dharma Realm Is Embodied Within the Mind
法乳	the milk of Dharma
法王座下龍象	eminent and virtuous ones under the seat of the Dharma King
法無頓漸，人有利鈍，故名頓漸	"The Dharma is neither sudden nor gradual.
It is thus named because people have sharp or dull aptitudes."
方便教化	skillful teachings
"風來疏竹，風過而竹不留聲
雁渡寒潭，雁去而潭不留影"	"When the wind blows through scattered bamboos, as soon as it passes, the sound also leaves;
When a goose flies over a winter pond, as soon as it passes, its reflection too flies away."
佛寶讚	Buddha Gem Anthem
佛誕節暨多元文化嘉年華會	Buddha’s Day and Multicultural Festival
佛弟子	Buddhists
佛典故事	videos on Buddhist stories
佛佛道同，光光無礙	Each and every buddha walks on the same path with their radiance unobstructed by one another.
佛光山北美人間學院	FGS North America Humanistic Buddhism Courses
佛光山答謝代表團	Fo Guang Shan Appreciation Delegation
佛光山梵唄讚頌團	Fo Guang Shan Buddhist Choir
佛光山光明大學宿霧藝術學院	Fo Guang Shan Guang Ming Institute of Performing Arts Cebu
佛光山開山57周年全球同步抄經修持	Celebrating the 57th Year of Fo Guang Shan Global Sutra Transcription Event
佛光山開山祖師星雲大師出家紀念日信徒香會	Fo Guang Shan Founding Master—Venerable Master Hsing Yun’s Renunciation Day & Devotees’ Gathering
佛光山開山祖師星雲大師誕辰紀念日供僧法會	Fo Guang Shan Founding Master—Venerable Master Hsing Yun’s Birthday & Sangha Day Offering
佛光山開山祖師星雲大師舍利及法像供奉典禮	"Consecration and Inauguration Service of the Relic and Memorial Statue of
Venerable Master Hsing Yun—Founding Master of Fo Guang Shan"
佛光山開山祖師星雲大師圓寂紀念日	Fo Guang Shan Founding Master—Venerable Master Hsing Yun Memorial Day
佛光山馬來西亞東禪佛教學院	Fo Guang Shan Malaysia Dong Zen Institute of Buddhist Studies
佛光山全體宗委	Fo Guang Shan Board of Directors
佛光山社輔布教師	Fo Guang Shan Community Counselor
佛光山徒眾手冊	Fo Guang Shan Disciples Handbook
佛光世界	A World of Buddha’s Light
佛光書局	Fo Guang Bookstore
佛光體系青年大會師	Fo Guang Shan Youth Summit
佛教海線絲綢之路—新媒體藝術特展	Buddhist Maritime Silk Road—New Media Art Exhibition
佛如良醫	the Buddha as a good doctor
佛事	1. Buddhist endeavor; 2. Buddhist services
佛是人成	Buddhahood is attained by human beings.
"佛說一切法，為治一切心
若無一切心，何用一切法"	"All teachings expounded by the Buddha serve the purpose of remedying all minds;
Without the existence of all minds, such teachings serve no purpose at all."
佛陀的本懷	Buddha’s original intents
佛陀傳—悉達多太子	Siddhartha: The Musical
"佛以一音演說法
眾生隨類各得解"	"The Buddha taught with one voice;
 Sentient beings understood according to their own perspectives."
"1) 佛在世時我沉淪
2) 佛滅度後我出生
3) 懺悔此生多業障
4) 不見如來金色身"	"1) When the Buddha was in the world, I was lost,
2) After the Buddha entered nirvana, I was then born; 
3) I repent for all my many karmic obstacles, 
4) That have prevented me from seeing the Tathagata’s golden body."
佛制	established by the Buddha
福報	merit
福德善緣	meritorious, virtuous, and wholesome conditions
福德因緣	meritorious causes and conditions
福地福人居	Places of good fortune are taken by people of great merit.
福田僧	monastics as fields of merit
富有恆沙界，貴為人天師	Possessing Richness as Much as Sands in the Ganges Rivers, a Teacher of Humans and Heavenly Beings.
復蔬線上公益路跑	VEGRUN
復興中華文化，佛教不可缺席，尤其在全世界重視中華文化的現今	In the revival of Chinese culture, Buddhism cannot be absent, especially now when the whole world is placing significant importance on Chinese culture.
甘露歌	“Song of the Dharma Nectar”
高僧大德	eminent masters
高雄市榮譽市民證書	Honorary Citizen of Kaohsiung City Certificate
割肉餵鷹，捨身飼虎	sacrificing body and flesh to feed eagles and tigers
「耕耘心田」雲端講座	“Cultivating the Mind’s Field” cloud lectures
共生與共榮	Coexistence and Coprosperity
共識與開放	Consensus and Openness
供佛齋天法會	Offering to the Triple Gem and Celestial Protectors Dharma Service
供僧法會	1. Sangha Offering Ceremony; 2. Ullambana Festival
鼓山調	Gushan melody
關閉六根賊	To seclude the thieving Six Sense Organs
關房	retreat room
觀世音菩薩聖誕紀念日	Avalokitesvara’s Birthday
觀音法會	Avalokitesvara Bodhisattva Dharma Service
觀音靈感歌	“Amazing Guanyin”
光光無礙	Lights Are Mutually Unobstructed
廣結人緣	broadly form good affinities
"國際書展—
永遠從關懷出發不間斷"	Fo Guang Shan Buddha Museum International Book Fair: Never Stop Caring
果從因生，事待理成，有依空立	Effects arise from causes, phenomena emerge from underlying principles, and existence emerges from emptiness.
過午不食	fasting after noon
好的開始，是成功的一半	Well begun is half done.
好苗子人才扶植計畫	The Seeds of Hope talent fostering project
好苗子幸福學堂	Seeds of Hope Schools
和南聖眾	Respecting the Sacred Assembly
和氣致祥	harmony leads to auspiciousness
和顏悅色	peaceful and pleasant countenance
"橫看成嶺側成峰，遠近高低各不同
不識廬山真面目，只緣身在此山中"	"A range from across but a peak from the side,
Far, near, high and low, each a view by sight;
One fails to see Mount Lu’s real face,
All only because right inside Lu he is placed.
"
厚德載福	Virtues Carry Merits
護持正法	protect and uphold the righteous Dharma
花開四季　耕耘心田	Cultivate a Heart that Blooms in All Seasons
化緣	1. asking for donation; 2. lit. bringing forth conditions; 3. building affinities
慧燈可以破諸闇	the light of wisdom can expel all darkness
活菩薩	living bodhisattva
禍兮福所倚，福兮禍所伏	Good fortune follows upon disaster, and disaster lurks within good fortune.
"稽首天中天，毫光照大千
八風吹不動，端坐紫金蓮"	"I bow to the heaven above all heavens, whose aura shines on the great universe; 
Sitting upright on the purple-golden lotus, I remain unmoved by the Eight Winds."
機車環島跟著星雲大師去尋根	Motorcycle Marathon Around the Island in Venerable Master Hsing Yun’s Footsteps
吉祥臥	auspicious recline
"袈裟下失卻人身
地獄門前僧道多"	"Many have lost their humanity under the guise of monastic robes;
Crowds of monastics are often found at the gates of hell."
"見其生，不忍見其死
聞其聲，不忍食其肉
是以君子遠庖廚也"	"Seeing it alive, one cannot bear to witness its death;
Hearing its cry, one cannot bear to eat its flesh.
Therefore, the virtuous keep their distance from the kitchen."
"建寺安僧傳道五洲  猶似蓮花不著水
雲遊世界結緣十方  亦如日月住虛空"	"To establish temples and Sangha, and propagate the way on all Five Continents like the lotus that never touches the water;
To travel the world and broadly establish good affinities like the sun and moon that abide in emptiness."
解脫法門	the teaching of liberation
戒定真香讚	True Fragrance of Precept and Samadhi Anthem
戒臘	Ordination Year
戒條	precept
"戒為無上菩提本，
長養一切諸善根"	Precepts are the foundation of supreme Bodhi and nurture all wholesome roots.
"金剛非堅，願力最堅
虛空非大，心王最大"	"That which is unbreakable is not a diamond but a vow;
That which is boundless is not the void but one’s mind."
"金角落，銀角落，
不及自己一個窮角落"	Whether a house is made of silver or gold, it is still not as good as one’s humble abode.
禁遏妄想心	to restrain the deluding mind
經律論	Sutra, Vinaya, and Sastra
"精進勤於耕耘心田，
四季常栽智慧之花"	Practice diligently for the blooming of wisdom all year round.
精舍	Abode
淨財	Pure Wealth
淨化三業	purify the three types of karma
淨念	pure mind
靜慮	calmly reflect
靜心	serene mind
糾察師	disciplinarian
救苦救難	1. alleviate living beings from suffering and adversity; 2. relieve people from distress and suffering
開光	consecration ceremony; lit. initiating the light
開悟	attain enlightenment
"看山是山，看水是水
看山不是山，看水不是水
看山還是山，看水還是水"	"A mountain is a mountain, water is water.
A mountain is no longer a mountain, and water is no longer water.
Mountain is still a mountain, and water is still water."
空有一如	Emptiness and Existence Are One
"孔雀雖有色嚴身，不如鴻鵠能高飛
白衣雖有富貴力，不如出家功德深"	"A peacock may be well adorned with splendid feathers, but still incomparable to a wild goose that can fly long distances. 
A lay person may possess the power of wealth and fortune, but their merit is not as superior as that of one living a monastic life. "
口念彌陀心散亂，喊破喉嚨也徒然	With a scattered mind, you could be screaming Amitabha Buddha’s name at the top of your lungs until you are hoarse, you would still achieve nothing.
苦修	practice of austerities
老菩薩	senior bodhisattvas
離苦得樂	"free from suffering and obtain happiness; transcend suffering and attain happiness; 
escape from suffering, and attain joy"
理上有頓悟，事上要漸修	Awakening is sudden, but practice is gradual.
立志	establish resolve
良藥苦口　忠言逆耳	"Good medicine tastes bitter;
Honest advice is unpleasant to the ears."
梁皇法會	Emperor Liang Repentance Dharma Service
兩舌	divisive speech
了生脫死	transcend birth and death
靈感	1. spiritual insight; 2. Supernatural Response
六度萬行	all practices of the Six Paramitas
龍象	eminent and virtuous ones
"廬山煙雨浙江潮，未到千般恨不消
及至到來無一物，廬山煙雨浙江潮"	"Misty rains of Mount Lu, and tides in Zhejiang, unless really there, a thousand resentments will linger;
Having finally arrived, everything seemed purposeless, still the misty rains of Mount Lu, still the tides in Zhejiang."
爐香讚	Incense Cloud Anthem
律師	Vinaya Master
綠色公益基金會	iPure Green Foundation
論師	Sastra Master
落成法會	Dharma Service for Inauguration
"沒有心開意解，不可閉關
沒有開悟入道，不可住山"	"Without an untangled mind, do not enter into a retreat;
Without an awakened mind, do not live secluded in the mountains."
「迷悟之間」系列	videos on Between Ignorance and Enlightenment
密護根門	guarding the sense organs
"面上無瞋是供養，口裡無瞋出妙香
心中無瞋無價寶，不斷不滅是真常"	"A face without anger is a type of offering;
Speech without anger gives wonderful fragrances;
A heart without anger is like a priceless gem;
The eternal Truth is beyond worldly discrimination."
明鏡台	Bright Mirror Stand
末法時代，白衣上座	It is the Age of Declining Dharma when lay Buddhists teach.
莫忘初心	do not forget one’s initial vows
"莫嫌佛門茶飯淡
僧情不比俗情濃"	"Complain not of a temple’s bland tea and food;
The sentiment of a monastic is far less strong than that of a worldly person."
納骨塔	columbarium
納骨堂	Columbarium Hall
男菩薩	gentleman bodhisattvas
南美講堂	“South America Lecture Courses”
南天雲課堂	“Nan Tien Cloud Classes”
難調難伏	hard to subdue
難忍能忍，難行能行	tolerate the intolerable and do the undoable
內號	internal name
內外一如	the concepts of inside and outside become as one
"能大能小，能屈能伸
能有能無，能高能低"	"the ability to be both great and insignificant, to know when to yield and when not to; 
to have and not have, to be superior and inferior."
你跑步，我捐糧	You Run, I Give
念而不念，不念而念	recite without the thought of reciting, to not recite yet still be reciting.
念佛法會	Amitabha Dharma Service
"念佛一聲，罪滅河沙
禮佛一拜，福增無量"	"With a single recitation of Buddha’s name, transgressions as numerous as the sands in a river are extinguished;
With a single prostration to the Buddha, immeasurable blessings increase."
念念分明	Perfectly Clear With Every Thought
念僧	contemplating/mindful/chanting the Sangha
涅槃三昧	the Samadhi of Nirvana
女菩薩	lady bodhisattvas
攀緣	clinging to
跑香	walking meditation
翩翩舞廣袖，似鳥海東來	The wide, dancing sleeves move as gracefully as birds flying eastwards from the sea.
平常不做虧心事，夜半敲門心不驚	A clear conscience is a soft pillow.
菩薩低眉　金剛怒目	Bodhisattvas have compassionate brows while vajras hold a terrifying gaze.
"菩薩清涼月，常遊畢竟空
眾生心垢淨，菩提月現前"	"The Bodhisattva is like a clear cool moon, constantly coursing through the ultimate emptiness; 
Once the minds of sentient beings are purified, the bodhi moon shall manifest."
菩薩心，青年力	Bodhisattva Heart, and Youthful Strength
"菩提本無樹，明鏡亦非台
本來無一物，何處惹塵埃"	"Essentially, bodhi is not a tree.
The bright mirror is also not standing;
Inherently, there is no thing,
Where can it attract dust?"
普羅大眾	people in general
綺語	flattering speech
千佛法會	Thousand Buddhas Dharma Service
千僧萬眾祝佛誕，一心十願報母恩	A thousand monastics and ten-thousand devotees Bathing the Buddha Festival coming together to celebrate the Buddha’s Birthday, wholeheartedly vowing to repay the kindness of our mothers.
遷單	1. to expel; 2. Eviction
青年朋友菩薩	young/youth/youthful bodhisattvas
"青青翠竹皆是妙諦
鬱鬱黃花無非般若"	"Lush green bamboo are wondrous truths;
The luxuriant yellow flower is nothing but prajna."
清淨身口意	to purify the body, speech, and mind
清淨無為	Purity and Non-Doing
情與無情，同圓種智	Whether sentient or non-sentient, all will attain the Buddha’s wisdom.
請上堂	Host the Myriad of Beings in the Upper Halls
請下堂	Host the Myriad of Beings in the Lower Halls
慶祝佛誕法會	Buddha’s Birthday Celebrations
秋祭法會	Autumn Memorial Dharma Service
求佛不如行佛	practice the Buddha’s way over seeking the Buddha’s blessings
求人不如求己	1. it is better to help yourself than to seek help from others; 2. It Is Better to Rely on Self than to Rely on Others
全球線上佛學會考	Global Online Buddhist Examination
全聽	listen attentively
饒舌	Superfluous Talk
"人非聖賢，孰能無過
知錯必改，善莫大焉"	"To err is human; 
To correct a mistake is the greatest good."
人飢己飢　人溺己溺	"When others are hungry, I am hungry;
When others are drowning, I am drowning."
"人間池塘—
張大千、文人與荷花藝術大展"	The Earthly Pond: Artwork of Lotus by Chang Dai-chien and Other Artists
人間佛教思想十堂課	The Ten Lectures on Humanistic Buddhism
"人間佛教四個宗要
1. 家國為尊
2. 生活合理
3. 人事因緣
4. 心意和樂"	"The Core Ideas of Humanistic Buddhism:
1. Honor your family and nation;
2. Lead an appropriate lifestyle;
3. Establish right conditions for life and for people;
4. Maintain a harmonious and joyful mind."
人間佛教徒眾短期研究班	Short-Term Monastic Study Program
